Unnamed: 0,ID,Sentiment,Word_total,Score,Title,Date,Body,Term,Session,Meeting,Sitting,Agenda,Subcorpus,Speaker_role,Speaker_MP,Speaker_Minister,Speaker_party,Speaker_party_name,Party_status,Speaker_name,Speaker_gender,Speaker_birth,Topic_title,Question,Debate,YearMonth,Government,Bloc
0,ParlaMint-DK_20141024100001,3.402574517616083,272.0,0.012509465138294422,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Punkt 0,False,False,2014-10,Thorning-Schmidt II,Left
1,ParlaMint-DK_20141024100126,0.5548025392061983,9.0,0.06164472657846647,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
2,ParlaMint-DK_20141024100138,66.36530007657824,1271.0,0.05221502759762253,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,V,Venstre,Opposition,"Haarder, Bertel",M,1944,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
3,ParlaMint-DK_20141024101238,0.0,9.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
4,ParlaMint-DK_20141024101241,11.031510075805123,119.0,0.0927017653429002,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,EL,Enhedslisten,,"Sørensen, Finn",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
5,ParlaMint-DK_20141024101335,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
6,ParlaMint-DK_20141024101336,12.666838335964778,128.0,0.09895967449972483,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,V,Venstre,Opposition,"Haarder, Bertel",M,1944,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
7,ParlaMint-DK_20141024101434,0.0,3.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
8,ParlaMint-DK_20141024101436,5.253447991740497,143.0,0.03673739854363984,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,EL,Enhedslisten,,"Sørensen, Finn",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
9,ParlaMint-DK_20141024101540,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
10,ParlaMint-DK_20141024101541,6.30561798878728,115.0,0.05483146077206331,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,V,Venstre,Opposition,"Haarder, Bertel",M,1944,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
11,ParlaMint-DK_20141024101623,0.5421165786803108,10.0,0.05421165786803108,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
12,ParlaMint-DK_20141024101633,113.3250963061118,1264.0,0.0896559306219239,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,S,Socialdemokratiet,Coalition,"Lind, Annette",F,1969,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
13,ParlaMint-DK_20141024102350,1.0969191178865092,15.0,0.07312794119243395,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
14,ParlaMint-DK_20141024102413,84.75611294490093,1335.0,0.06348772505236025,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,DF,Dansk Folkeparti,Opposition,"Dencker, Mikkel",M,1975,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
15,ParlaMint-DK_20141024103211,0.0,9.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
16,ParlaMint-DK_20141024103214,0.19627019080205999,45.0,0.004361559795601333,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,EL,Enhedslisten,,"Sørensen, Finn",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
17,ParlaMint-DK_20141024103236,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
18,ParlaMint-DK_20141024103237,4.478362689702787,129.0,0.034715989842657266,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,DF,Dansk Folkeparti,Opposition,"Dencker, Mikkel",M,1975,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
19,ParlaMint-DK_20141024103321,0.0,3.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,S,Socialdemokratiet,Coalition,"Lykketoft, Mogens",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
